yas,gelir,abonelik_suresi,destek_talebi_sayisi,sehir,uyelik_tipi,churn
29.0,116000,8,0.0,Bursa,Pro,0
34.0,68000,7,2.0,Bursa,Premium,0
30.0,75000,48,5.0,Istanbul,Basic,0
47.0,124000,38,1.0,Ankara,Pro,0
61.0,50000,53,0.0,Antalya,Premium,0
59.0,46000,34,2.0,Bursa,Premium,0
27.0,66000,47,3.0,Ankara,Pro,0
30.0,75000,12,1.0,Istanbul,Basic,0
21.0,61000,25,3.0,Istanbul,Premium,1
64.0,74000,49,3.0,Ankara,Pro,0
,46000,59,,,,0
38.0,111000,59,2.0,Izmir,Premium,0
33.0,117000,16,5.0,Antalya,Basic,1
53.0,57000,46,3.0,Istanbul,Basic,0
22.0,64000,44,3.0,Izmir,Basic,0
61.0,65000,16,3.0,Istanbul,Basic,0
26.0,101000,16,4.0,Istanbul,Pro,1
44.0,75000,54,1.0,Antalya,Pro,0
61.0,37000,2,8.0,Istanbul,Basic,1
41.0,138000,8,0.0,Istanbul,Pro,1
31.0,97000,34,3.0,Izmir,Pro,0
57.0,82000,58,2.0,Antalya,Basic,0
21.0,67000,30,6.0,Bursa,Pro,0
47.0,89000,27,3.0,Izmir,Premium,0
30.0,60000,28,1.0,Antalya,Basic,0
30.0,71000,48,4.0,Izmir,Basic,0
33.0,85000,47,2.0,Izmir,Basic,0
47.0,52000,53,1.0,Izmir,Premium,0
26.0,135000,15,2.0,Bursa,Basic,1
56.0,49000,4,1.0,Ankara,Pro,1
24.0,96000,28,6.0,Ankara,Basic,0
39.0,120000,17,1.0,Istanbul,Basic,1
62.0,20000,55,9.0,Istanbul,Pro,1
45.0,22000,41,3.0,Ankara,Premium,0
25.0,67000,13,3.0,Istanbul,Pro,1
35.0,105000,17,5.0,Istanbul,Premium,0
60.0,42000,54,2.0,Istanbul,Premium,0
23.0,93000,8,3.0,Istanbul,Premium,1
54.0,106000,49,4.0,Istanbul,Premium,0
,139000,38,,,,0
59.0,107000,8,8.0,Istanbul,Pro,1
47.0,72000,49,0.0,Bursa,Basic,0
44.0,30000,49,1.0,Istanbul,Premium,0
18.0,95000,14,3.0,Istanbul,Basic,1
40.0,139000,12,4.0,Istanbul,Basic,1
52.0,59000,59,3.0,Ankara,Premium,0
30.0,76000,19,2.0,Istanbul,Basic,0
24.0,87000,10,10.0,Istanbul,Basic,1
58.0,135000,45,4.0,Ankara,Pro,0
52.0,91000,10,6.0,Istanbul,Pro,1
60.0,132000,3,2.0,Antalya,Basic,1
64.0,36000,34,3.0,Ankara,Basic,0
47.0,90000,5,2.0,Ankara,Basic,1
56.0,27000,3,5.0,Istanbul,Premium,1
60.0,97000,31,2.0,Izmir,Premium,0
35.0,36000,25,5.0,Ankara,Pro,1
23.0,22000,6,6.0,Istanbul,Premium,1
33.0,123000,3,2.0,Izmir,Pro,1
30.0,49000,50,2.0,Ankara,Basic,0
59.0,97000,9,5.0,Antalya,Basic,1
58.0,44000,3,3.0,Antalya,Basic,1
46.0,119000,25,1.0,Istanbul,Pro,0
55.0,127000,25,3.0,Ankara,Basic,0
27.0,140000,50,2.0,Antalya,Basic,0
41.0,105000,47,7.0,Antalya,Premium,0
39.0,45000,39,1.0,Bursa,Pro,0
22.0,129000,53,5.0,Istanbul,Basic,0
45.0,25000,59,2.0,Istanbul,Basic,0
30.0,148000,11,3.0,Izmir,Pro,1
59.0,37000,26,1.0,Bursa,Basic,1
29.0,94000,8,5.0,Bursa,Premium,1
24.0,59000,24,1.0,Bursa,Pro,0
51.0,96000,20,0.0,Istanbul,Pro,0
39.0,72000,3,2.0,Istanbul,Pro,0
39.0,44000,10,3.0,Izmir,Premium,1
48.0,22000,38,2.0,Antalya,Basic,0
61.0,121000,44,2.0,Istanbul,Premium,0
46.0,91000,22,1.0,Istanbul,Basic,0
30.0,55000,54,5.0,Antalya,Premium,0
30.0,116000,48,1.0,Istanbul,Pro,0
63.0,134000,9,2.0,Ankara,Basic,1
54.0,45000,32,3.0,Izmir,Premium,0
25.0,71000,28,3.0,Istanbul,Basic,0
39.0,25000,3,6.0,Antalya,Pro,1
59.0,144000,22,1.0,Istanbul,Basic,0
56.0,99000,25,3.0,Istanbul,Pro,1
33.0,60000,4,2.0,Ankara,Basic,0
61.0,24000,55,2.0,Izmir,Premium,0
,28000,23,,,,0
46.0,85000,30,2.0,Bursa,Pro,0
34.0,40000,42,3.0,Istanbul,Basic,0
23.0,22000,36,3.0,Istanbul,Basic,0
53.0,97000,26,2.0,Ankara,Basic,0
31.0,28000,31,4.0,Antalya,Pro,0
50.0,84000,9,4.0,Istanbul,Basic,0
41.0,30000,23,2.0,Istanbul,Pro,0
49.0,125000,56,2.0,Istanbul,Basic,0
51.0,140000,7,7.0,Bursa,Basic,1
63.0,133000,6,4.0,Istanbul,Basic,1
58.0,47000,24,2.0,Istanbul,Basic,1
45.0,51000,33,3.0,Izmir,Pro,0
32.0,51000,44,2.0,Ankara,Basic,0
63.0,53000,46,2.0,Izmir,Premium,0
59.0,29000,32,5.0,Ankara,Pro,0
60.0,98000,43,1.0,Bursa,Pro,0
50.0,86000,5,4.0,Antalya,Basic,1
52.0,93000,59,0.0,Istanbul,Premium,0
49.0,141000,17,6.0,Istanbul,Basic,1
56.0,85000,3,3.0,Istanbul,Premium,1
36.0,101000,6,5.0,Ankara,Basic,1
27.0,131000,48,3.0,Antalya,Premium,0
27.0,115000,56,5.0,Istanbul,Basic,0
31.0,70000,23,6.0,Ankara,Pro,1
39.0,140000,30,7.0,Antalya,Basic,1
61.0,132000,25,3.0,Antalya,Premium,0
19.0,25000,21,2.0,Izmir,Pro,0
49.0,133000,21,4.0,Bursa,Basic,1
32.0,144000,49,2.0,Antalya,Basic,0
34.0,104000,19,6.0,Istanbul,Premium,1
43.0,144000,2,5.0,Ankara,Pro,1
64.0,42000,15,2.0,Antalya,Premium,1
51.0,123000,59,4.0,Ankara,Basic,0
39.0,71000,25,6.0,Istanbul,Pro,1
37.0,116000,6,6.0,Ankara,Pro,1
36.0,74000,42,2.0,Bursa,Pro,0
18.0,36000,33,3.0,Antalya,Pro,1
31.0,139000,5,3.0,Bursa,Premium,1
28.0,135000,21,3.0,Ankara,Premium,0
45.0,63000,32,1.0,Izmir,Basic,0
46.0,38000,49,5.0,Istanbul,Pro,0
26.0,20000,45,2.0,Antalya,Premium,0
51.0,32000,47,4.0,Izmir,Basic,0
54.0,65000,33,4.0,Istanbul,Pro,0
43.0,41000,30,3.0,Antalya,Pro,1
62.0,36000,11,2.0,Istanbul,Premium,0
60.0,35000,50,7.0,Ankara,Basic,0
46.0,126000,51,5.0,Istanbul,Pro,0
25.0,109000,53,3.0,Istanbul,Basic,0
33.0,84000,56,3.0,Izmir,Pro,0
18.0,108000,28,8.0,Istanbul,Pro,0
36.0,52000,24,3.0,Ankara,Basic,0
57.0,59000,11,6.0,Istanbul,Basic,1
62.0,142000,57,5.0,Antalya,Basic,0
18.0,59000,56,1.0,Istanbul,Pro,0
62.0,47000,18,4.0,Istanbul,Basic,1
27.0,22000,41,5.0,Ankara,Basic,0
64.0,149000,22,2.0,Bursa,Basic,0
52.0,86000,39,2.0,Ankara,Pro,0
61.0,50000,9,2.0,Bursa,Pro,0
23.0,93000,11,6.0,Bursa,Premium,1
39.0,88000,4,4.0,Istanbul,Premium,1
34.0,65000,58,2.0,Istanbul,Pro,0
59.0,64000,31,3.0,Ankara,Premium,0
29.0,120000,56,3.0,Izmir,Premium,0
60.0,100000,3,4.0,Istanbul,Pro,1
50.0,89000,55,2.0,Istanbul,Basic,0
58.0,116000,1,6.0,Izmir,Premium,1
54.0,67000,50,3.0,Antalya,Basic,1
23.0,147000,38,4.0,Antalya,Pro,0
46.0,97000,39,2.0,Istanbul,Basic,0
61.0,59000,37,1.0,Antalya,Basic,0
47.0,117000,22,4.0,Izmir,Basic,1
64.0,57000,34,3.0,Izmir,Basic,0
60.0,74000,24,1.0,Bursa,Basic,0
49.0,108000,6,6.0,Ankara,Basic,1
25.0,141000,20,2.0,Bursa,Pro,1
46.0,71000,41,1.0,Bursa,Basic,0
32.0,102000,3,3.0,Istanbul,Pro,1
31.0,132000,27,1.0,Izmir,Pro,0
,149000,6,,,,1
59.0,94000,55,2.0,Antalya,Premium,0
31.0,68000,12,5.0,Istanbul,Pro,1
42.0,124000,48,2.0,Istanbul,Pro,0
21.0,22000,39,1.0,Istanbul,Premium,0
25.0,51000,34,4.0,Antalya,Basic,0
60.0,35000,47,4.0,Istanbul,Basic,0
50.0,104000,21,3.0,Bursa,Pro,1
51.0,51000,4,7.0,Istanbul,Premium,1
29.0,62000,57,2.0,Istanbul,Basic,0
45.0,93000,5,11.0,Antalya,Basic,1
22.0,111000,7,2.0,Izmir,Basic,1
56.0,121000,24,3.0,Istanbul,Premium,0
49.0,78000,16,2.0,Istanbul,Basic,1
48.0,92000,49,1.0,Izmir,Pro,0
32.0,148000,30,3.0,Istanbul,Basic,0
62.0,51000,37,3.0,Ankara,Premium,1
61.0,43000,8,2.0,Bursa,Basic,1
30.0,116000,48,1.0,Ankara,Basic,0
34.0,27000,39,3.0,Istanbul,Basic,1
44.0,20000,46,3.0,Ankara,Basic,0
50.0,79000,44,2.0,Antalya,Pro,0
61.0,79000,7,6.0,Bursa,Basic,1
51.0,22000,12,4.0,Bursa,Pro,0
26.0,132000,6,5.0,Izmir,Pro,1
48.0,97000,49,3.0,Antalya,Pro,0
51.0,129000,25,5.0,Bursa,Basic,0
33.0,48000,30,4.0,Istanbul,Premium,0
40.0,67000,11,4.0,Izmir,Premium,1
52.0,59000,30,3.0,Ankara,Basic,0
30.0,102000,52,6.0,Istanbul,Premium,0
22.0,107000,51,3.0,Istanbul,Basic,0
62.0,34000,43,5.0,Istanbul,Basic,0
38.0,36000,37,1.0,Bursa,Basic,0
61.0,81000,50,4.0,Istanbul,Basic,0
36.0,91000,53,5.0,Ankara,Pro,0
39.0,55000,55,7.0,Izmir,Basic,0
40.0,132000,26,7.0,Antalya,Premium,1
36.0,113000,57,6.0,Ankara,Premium,0
23.0,93000,11,1.0,Izmir,Pro,1
57.0,65000,23,5.0,Bursa,Basic,1
23.0,132000,17,4.0,Istanbul,Pro,0
23.0,149000,17,4.0,Ankara,Pro,1
24.0,36000,35,6.0,Istanbul,Pro,0
49.0,126000,17,2.0,Bursa,Basic,0
47.0,141000,13,4.0,Istanbul,Basic,1
34.0,55000,4,0.0,Antalya,Basic,0
60.0,39000,51,2.0,Antalya,Premium,0
64.0,89000,27,4.0,Antalya,Pro,0
22.0,97000,29,5.0,Antalya,Premium,0
64.0,86000,53,1.0,Antalya,Basic,0
56.0,58000,38,2.0,Istanbul,Basic,0
31.0,51000,26,3.0,Ankara,Basic,0
20.0,31000,36,2.0,Antalya,Pro,0
30.0,83000,23,0.0,Antalya,Pro,0
,41000,9,,,,1
,63000,2,,,,1
34.0,21000,32,4.0,Ankara,Basic,0
64.0,102000,42,3.0,Istanbul,Premium,0
23.0,142000,47,2.0,Bursa,Premium,0
58.0,26000,31,3.0,Ankara,Premium,0
,30000,29,,,,0
27.0,77000,5,1.0,Istanbul,Premium,1
62.0,137000,36,7.0,Ankara,Basic,0
57.0,130000,57,3.0,Ankara,Basic,0
32.0,27000,49,1.0,Ankara,Pro,0
24.0,83000,28,6.0,Istanbul,Premium,1
20.0,126000,37,3.0,Bursa,Pro,0
55.0,108000,58,3.0,Izmir,Premium,0
40.0,64000,50,2.0,Izmir,Premium,1
64.0,140000,40,1.0,Istanbul,Premium,0
27.0,51000,27,1.0,Istanbul,Premium,0
53.0,61000,10,3.0,Istanbul,Basic,1
,126000,27,,,,1
38.0,108000,30,3.0,Bursa,Basic,0
50.0,98000,51,2.0,Istanbul,Premium,0
53.0,77000,43,5.0,Ankara,Basic,0
39.0,99000,53,4.0,Bursa,Basic,0
24.0,30000,20,2.0,Istanbul,Pro,1
38.0,94000,5,4.0,Antalya,Pro,1
18.0,147000,38,4.0,Izmir,Basic,0
38.0,68000,29,3.0,Istanbul,Pro,0
51.0,64000,42,2.0,Izmir,Premium,0
39.0,69000,16,1.0,Antalya,Basic,0
20.0,49000,29,6.0,Istanbul,Pro,1
29.0,51000,16,1.0,Antalya,Pro,0
29.0,28000,47,2.0,Istanbul,Basic,0
54.0,132000,25,1.0,Izmir,Pro,0
26.0,107000,30,1.0,Izmir,Basic,0
63.0,56000,58,3.0,Antalya,Basic,0
61.0,82000,2,5.0,Ankara,Basic,1
,62000,59,,,,0
25.0,103000,20,3.0,Ankara,Premium,0
39.0,96000,42,4.0,Bursa,Premium,0
37.0,69000,47,2.0,Bursa,Premium,0
57.0,81000,33,4.0,Antalya,Premium,0
40.0,132000,50,1.0,Istanbul,Pro,0
63.0,100000,19,1.0,Istanbul,Premium,0
53.0,88000,4,4.0,Ankara,Premium,1
35.0,46000,33,6.0,Bursa,Basic,0
51.0,37000,25,3.0,Istanbul,Premium,0
26.0,71000,54,6.0,Istanbul,Basic,0
33.0,105000,36,4.0,Antalya,Basic,0
28.0,23000,50,2.0,Ankara,Pro,0
36.0,98000,1,4.0,Ankara,Basic,1
45.0,23000,58,3.0,Antalya,Pro,0
35.0,69000,57,4.0,Antalya,Premium,0
44.0,106000,16,6.0,Ankara,Pro,0
57.0,85000,25,2.0,Istanbul,Pro,1
18.0,97000,35,4.0,Istanbul,Premium,0
26.0,103000,11,5.0,Antalya,Pro,1
31.0,122000,24,2.0,Istanbul,Basic,1
42.0,77000,35,3.0,Bursa,Premium,0
30.0,56000,21,3.0,Ankara,Premium,1
52.0,95000,56,1.0,Izmir,Pro,0
21.0,83000,53,1.0,Istanbul,Basic,0
50.0,118000,4,7.0,Istanbul,Basic,1
44.0,99000,45,0.0,Istanbul,Pro,0
35.0,124000,14,1.0,Izmir,Basic,0
29.0,125000,27,5.0,Ankara,Pro,1
19.0,127000,33,2.0,Ankara,Basic,0
55.0,83000,16,1.0,Bursa,Pro,0
55.0,106000,44,4.0,Ankara,Pro,0
27.0,45000,2,4.0,Ankara,Basic,0
45.0,61000,33,1.0,Antalya,Basic,0
37.0,106000,2,5.0,Ankara,Premium,1
61.0,44000,23,1.0,Izmir,Basic,0
38.0,81000,2,6.0,Istanbul,Basic,1
20.0,94000,22,7.0,Ankara,Pro,1
26.0,78000,42,4.0,Ankara,Pro,0
38.0,51000,37,0.0,Ankara,Premium,0
28.0,146000,15,2.0,Antalya,Premium,1
50.0,106000,9,9.0,Bursa,Premium,1
63.0,56000,29,0.0,Istanbul,Premium,0
20.0,106000,20,1.0,Bursa,Basic,0
40.0,115000,4,4.0,Antalya,Premium,1
21.0,114000,10,4.0,Istanbul,Pro,1
59.0,56000,27,3.0,Ankara,Basic,0
46.0,35000,56,2.0,Istanbul,Basic,0
33.0,41000,24,5.0,Istanbul,Basic,0
63.0,22000,44,3.0,Istanbul,Pro,1
56.0,49000,2,8.0,Izmir,Basic,1
27.0,24000,48,2.0,Istanbul,Premium,0
59.0,130000,24,2.0,Bursa,Premium,0
59.0,80000,56,4.0,Antalya,Pro,0
54.0,65000,28,4.0,Istanbul,Premium,1
58.0,69000,47,3.0,Antalya,Basic,0
30.0,91000,46,7.0,Bursa,Basic,0
52.0,40000,57,1.0,Bursa,Basic,0
54.0,98000,43,6.0,Izmir,Pro,1
40.0,86000,19,5.0,Izmir,Basic,1
23.0,67000,28,1.0,Izmir,Basic,0
33.0,28000,11,7.0,Izmir,Basic,1
21.0,91000,32,6.0,Istanbul,Premium,0
55.0,42000,57,6.0,Izmir,Premium,0
40.0,33000,21,4.0,Ankara,Basic,0
64.0,33000,4,4.0,Istanbul,Basic,1
32.0,34000,53,2.0,Izmir,Pro,0
54.0,100000,41,1.0,Bursa,Basic,0
37.0,26000,40,3.0,Istanbul,Basic,1
62.0,70000,27,1.0,Istanbul,Pro,0
55.0,58000,55,3.0,Bursa,Premium,0
64.0,82000,33,4.0,Istanbul,Premium,0
41.0,140000,54,3.0,Izmir,Premium,0
23.0,67000,40,3.0,Bursa,Basic,0
42.0,123000,55,2.0,Istanbul,Pro,0
29.0,76000,14,1.0,Istanbul,Pro,1
44.0,62000,8,2.0,Istanbul,Pro,1
52.0,95000,27,4.0,Istanbul,Basic,0
34.0,114000,47,1.0,Izmir,Pro,0
59.0,36000,25,1.0,Antalya,Basic,0
37.0,145000,28,5.0,Bursa,Basic,0
52.0,86000,49,6.0,Izmir,Pro,0
28.0,94000,18,7.0,Ankara,Basic,1
22.0,28000,30,4.0,Antalya,Pro,0
21.0,51000,30,3.0,Bursa,Premium,0
22.0,89000,22,1.0,Ankara,Premium,0
58.0,90000,12,2.0,Bursa,Basic,1
25.0,92000,35,1.0,Bursa,Pro,0
60.0,146000,56,1.0,Izmir,Premium,0
20.0,105000,48,5.0,Istanbul,Basic,0
57.0,138000,7,5.0,Istanbul,Pro,1
28.0,72000,6,7.0,Istanbul,Premium,1
26.0,143000,10,2.0,Antalya,Premium,0
47.0,109000,57,1.0,Bursa,Pro,0
22.0,111000,11,4.0,Izmir,Premium,1
18.0,43000,14,5.0,Ankara,Premium,1
41.0,23000,55,1.0,Ankara,Premium,0
38.0,46000,2,3.0,Istanbul,Pro,1
47.0,125000,36,4.0,Ankara,Pro,1
49.0,42000,6,5.0,Istanbul,Basic,1
60.0,122000,5,4.0,Ankara,Pro,0
40.0,113000,12,1.0,Ankara,Basic,1
48.0,46000,51,3.0,Izmir,Basic,0
18.0,105000,49,3.0,Istanbul,Pro,0
52.0,111000,19,3.0,Istanbul,Premium,0
38.0,86000,10,3.0,Istanbul,Pro,1
33.0,123000,5,3.0,Antalya,Basic,1
38.0,107000,28,3.0,Izmir,Premium,0
35.0,82000,49,6.0,Istanbul,Pro,0
28.0,138000,26,2.0,Ankara,Basic,0
18.0,119000,3,6.0,Istanbul,Pro,1
18.0,38000,40,8.0,Istanbul,Premium,0
52.0,51000,42,2.0,Antalya,Premium,0
53.0,99000,17,8.0,Ankara,Pro,1
46.0,128000,2,3.0,Ankara,Pro,1
59.0,126000,45,3.0,Istanbul,Premium,0
53.0,50000,35,2.0,Izmir,Pro,0
39.0,35000,54,1.0,Istanbul,Pro,0
56.0,55000,31,5.0,Istanbul,Premium,1
63.0,69000,6,2.0,Istanbul,Basic,0
42.0,31000,47,4.0,Bursa,Basic,0
40.0,36000,39,1.0,Ankara,Premium,0
41.0,135000,27,7.0,Antalya,Basic,1
46.0,109000,12,3.0,Ankara,Pro,0
29.0,72000,59,1.0,Ankara,Pro,0
29.0,111000,4,3.0,Ankara,Pro,1
40.0,141000,59,3.0,Antalya,Basic,0
46.0,37000,34,3.0,Bursa,Basic,0
54.0,42000,59,3.0,Istanbul,Basic,0
20.0,67000,59,4.0,Ankara,Basic,0
47.0,111000,25,4.0,Bursa,Pro,0
57.0,23000,53,0.0,Antalya,Pro,0
59.0,93000,50,1.0,Antalya,Basic,0
60.0,34000,51,3.0,Antalya,Basic,0
26.0,97000,15,3.0,Bursa,Pro,0
56.0,61000,53,1.0,Antalya,Premium,0
44.0,124000,50,3.0,Ankara,Pro,0
35.0,123000,55,5.0,Istanbul,Basic,0
34.0,40000,18,9.0,Ankara,Basic,1
,100000,33,,,,0
22.0,109000,52,3.0,Istanbul,Pro,0
64.0,33000,2,5.0,Antalya,Basic,1
21.0,68000,37,4.0,Ankara,Pro,0
41.0,59000,49,3.0,Istanbul,Basic,0
64.0,68000,25,3.0,Antalya,Basic,1
,122000,26,,,,0
62.0,49000,21,3.0,Bursa,Basic,0
54.0,32000,53,1.0,Antalya,Pro,0
49.0,77000,22,2.0,Ankara,Basic,0
58.0,140000,22,4.0,Ankara,Premium,0
39.0,85000,54,5.0,Istanbul,Basic,0
18.0,105000,58,4.0,Istanbul,Pro,0
46.0,61000,55,4.0,Izmir,Pro,0
25.0,117000,15,2.0,Istanbul,Basic,1
61.0,149000,27,2.0,Istanbul,Basic,0
44.0,32000,14,3.0,Istanbul,Pro,0
23.0,119000,54,3.0,Bursa,Pro,0
30.0,143000,29,2.0,Izmir,Basic,0
19.0,74000,54,1.0,Bursa,Basic,0
39.0,145000,1,4.0,Bursa,Basic,0
